Ruoka-aine,Koodi,Vuosi,Paastot maankaytosta,Paastot maanviljelysta,Paastot elaimen ruoasta,Paastot ruoan prosessoinnista,Paastot kuljetuksesta,Paastot jakelusta,Paastot pakkauksesta
Omenat,,2018,0,0.2,0,0,0.1,0,0
Banaanit,,2018,0,0.3,0,0.1,0.3,0,0.1
Ohra,,2018,0,0.2,0,0.1,0,0.3,0.5
Nauta (lihakarja),,2018,16.3,39.4,1.9,1.3,0.3,0.2,0.2
Nauta (maitotuotteet),,2018,0.9,15.7,2.5,1.1,0.4,0.2,0.3
Sokerijuurikkaan sokeri,,2018,0,0.5,0,0.2,0.6,0,0.1
Marjat ja rypaleet,,2018,0,0.7,0,0,0.2,0,0.2
Kaalit,,2018,0,0.3,0,0,0.1,0,0
Ruokosokeri,,2018,1.2,0.5,0,0,0.8,0,0.1
Maniokki,,2018,0.6,0.2,0,0,0.1,0,0
Juusto,,2018,4.5,13.1,2.3,0.7,0.1,0.3,0.2
Sitrushedelmat,,2018,-0.1,0.3,0,0,0.1,0,0
Kahvi,,2018,3.7,10.4,0,0.6,0.1,0.1,1.6
Tumma suklaa,,2018,14.3,3.7,0,0.2,0.1,0,0.4
Kananmunat,,2018,0.7,1.3,2.2,0,0.1,0,0.2
Kala (viljelty),,2018,0.5,3.6,0.8,0,0.1,0,0.1
Maapahkinat,,2018,0.4,1.4,0,0.4,0.1,0,0.1
Lampaanliha,,2018,0.5,19.5,2.4,1.1,0.5,0.2,0.3
Maissi,,2018,0.3,0.5,0,0.1,0.1,0,0.1
Maito,,2018,0.5,1.5,0.2,0.1,0.1,0.3,0.1
Pahkinat,,2018,-2.1,2.1,0,0,0.1,0,0.1
Kaurapuuro,,2018,0,1.4,0,0,0.1,0,0.1
Oliivioljy,,2018,-0.4,4.3,0,0.7,0.5,0,0.9
Sipulit ja purjo,,2018,0,0.2,0,0,0.1,0,0
Muut hedelmat,,2018,0.1,0.4,0,0,0.2,0,0
Muut palkokasvit,,2018,0,1.1,0,0,0.1,0,0.4
Muut vihannekset,,2018,0,0.2,0,0.1,0.2,0,0
Palmuoljy,,2018,3.1,2.1,0,1.3,0.2,0,0.9
Herneet,,2018,0,0.7,0,0,0.1,0,0
Sianliha,,2018,1.5,1.7,2.9,0.3,0.3,0.2,0.3
Perunat,,2018,0,0.2,0,0,0.1,0,0
Siipikarjanliha,,2018,2.5,0.7,1.8,0.4,0.3,0.2,0.2
Rypsioljy,,2018,0.2,2.3,0,0.2,0.2,0,0.8
Riisi,,2018,0,3.6,0,0.1,0.1,0.1,0.1
Juurekset,,2018,0,0.2,0,0,0.1,0,0
Katkaravut (viljelty),,2018,0.2,8.4,2.5,0,0.2,0.2,0.3
Soijaoljy,,2018,3.1,1.5,0,0.3,0.3,0,0.8
Soijamaito,,2018,0.2,0.1,0,0.2,0.1,0.3,0.1
Auringonkukkaoljy,,2018,0.1,2.1,0,0.2,0.2,0,0.9
Tofu,,2018,1,0.5,0,0.8,0.2,0.3,0.2
Tomaatit,,2018,0.4,0.7,0,0,0.2,0,0.1
Vehna ja ruis,,2018,0.1,0.8,0,0.2,0.1,0.1,0.1
Viini,,2018,-0.1,0.6,0,0.1,0.1,0,0.7